116	615	27	127.22
101	1326	12	27.32
102	2942	3	4.8
190	322	13	77.38
1583	273	4	36.55
110	301	12	9.96
112	2010	5	18.35
2876	241	3	29.07
124	1149	4	14.08
1687	101	10	24.28
179	478	27	229.72
8	523	3	10.47
225	14	79	116.66
103	1859	5	7.68
1334	14	5	4.8
629	356	11	107.61
136	238	11	31.65
106	498	14	21.28
1353	104	6	8.05
554	471	3	22.72
420	122	8	16.36
363	133	4	7.63
427	5754	3	40.52
5693	106	5	29.42
124	591	3	4.56
2460	105	5	14.03
107	1925	3	5.46
1227	106	4	5.08
127	1184	4	17.54
408	843	3	24.62
522	935	4	38.35
2236	14	4	6.27
1303	14	5	4.62
515	1352	4	42.32
307	1073	4	34.17
114	233	14	10.8
140	6830	5	61.03
124	387	4	4.58
224	1846	6	58.15
3181	104	9	40.99
3850	105	5	20.85
198	149	6	10.69
102	1605	6	9.28
104	6313	3	11.53
2100	106	8	30.53
1556	117	10	50.18
4473	104	3	8.62
237	195	5	16.16
104	238	82	153.29
12	4022	3	8.08
122	5641	3	19.67
389	389	3	18.54
112	2584	7	35.26
123	1442	3	9.91
3658	116	4	21.13
4088	107	6	32.83
6070	12	4	18.88
128	141	26	40.8
111	1847	3	7.25
3190	113	3	11.96
5898	125	3	23.41
4579	336	3	36.22
682	152	19	149.25
3812	109	3	11.98
1714	109	5	14.8
101	486	13	5.35
4284	177	3	28.47
2995	103	4	9.15
102	5834	3	9.93
118	306	57	250.26
105	1715	8	23.53
1004	107	4	3.97
4058	102	10	63.84
1945	102	8	20.48
103	2440	5	10.8
1223	113	4	9.02
1973	16	5	43.81
5401	109	3	15.17
1721	12	8	19.6
287	2696	3	29.96
2779	118	6	33.24
101	10771	3	18.38
109	386	29	81.78
184	1628	3	21.16
865	654	6	65.29
109	438	15	29.13
376	237	4	20.17
692	116	15	56.42
116	1813	3	8.65
122	2000	11	72.87
6059	109	4	25.23
4077	103	3	7.59
3148	103	4	9.72
122	1924	3	10.92
4585	107	3	11.86
376	111	8	6.54
2477	12	3	4.15
104	2716	4	8.17
4017	127	5	41.89
373	105	17	15.18
108	2479	17	122.44
114	563	5	5.61
294	1198	6	57.33
1799	117	3	8.52
117	5765	7	63.6
228	106	126	431.31
2202	106	19	122.24
205	4759	3	31.78
205	4843	4	45.4
114	411	6	5.01
103	661	10	7.21
1525	316	6	62.15
115	11331	3	26.55
733	105	10	14.44
6458	108	3	16.35
2712	105	5	15.14
101	3113	10	42.64
102	1146	9	14.4
354	101	31	29.72
113	195	45	82.45
471	4423	3	39.27
2587	101	4	6.38
1510	122	5	20.37
115	655	9	22.01
198	392	3	11.57
102	1350	7	10.36
109	2835	3	9.22
2010	284	3	27.8
101	5029	4	13.79
